,year,name,href,type,boxoffice,mean_price,mean_people,times
160,2014,银河护卫队,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=625440,动作,59601,39,23,2014-10-10
161,2014,超凡蜘蛛侠2,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=619279,科幻,58559,39,23,2014-05-04
162,2014,匆匆那年,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=619144,爱情,58162,35,25,2014-12-05
163,2014,澳门风云,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=615430,喜剧,52470,32,31,2014-01-31
164,2014,小时代3：刺金时代,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=617329,爱情,52156,32,33,2014-07-17
165,2014,一步之遥,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=625695,喜剧,49195,42,26,2014-12-18
166,2014,哥斯拉,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=626889,科幻,48142,38,26,2014-06-13
167,2014,霍比特人2：史矛革之战,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=341721,魔幻,46271,41,26,2014-02-21
168,2014,同桌的妳,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=609338,爱情,45574,33,23,2014-04-25
169,2014,智取威虎山,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=613812,动作,45527,41,33,2014-12-23
170,2014,敢死队3,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=615487,动作,45327,32,23,2014-09-01
171,2014,京城81号,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=612739,惊悚,41184,35,30,2014-07-18
172,2014,极品飞车,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=618964,动作,41168,38,22,2014-03-14
173,2014,明日边缘,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=624654,科幻,40641,38,24,2014-06-06
174,2014,北京爱情故事,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=614577,爱情,40552,34,26,2014-02-13
175,2015,捉妖记,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=627896,奇幻,243997,37,42,2015-07-16
176,2015,速度与激情7,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=629625,动作,242658,39,42,2015-04-12
177,2015,港囧,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=618038,喜剧,161354,33,40,2015-09-25
178,2015,复仇者联盟2：奥创纪元,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=631792,科幻,146439,40,29,2015-05-12
179,2015,夏洛特烦恼,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=628183,喜剧,144160,32,34,2015-09-30
180,2015,侏罗纪世界,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=348959,动作,142070,38,33,2015-06-10
181,2015,寻龙诀,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=614981,动作,137391,36,45,2015-12-18
182,2015,煎饼侠,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=629410,喜剧,116031,33,39,2015-07-17
183,2015,澳门风云2,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=627594,喜剧,97485,39,37,2015-02-19
184,2015,西游记之大圣归来,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=630887,动画,95643,35,34,2015-07-10
185,2015,碟中谍5：神秘国度,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=636000,动作,86977,33,26,2015-09-08
186,2015,霍比特人3：五军之战,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=625819,奇幻,76650,40,30,2015-01-23
187,2015,天将雄师,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=626314,动作,74418,41,38,2015-02-19
188,2015,终结者：创世纪,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=631839,科幻,72536,37,24,2015-08-23
189,2015,狼图腾,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=612432,剧情,69960,39,34,2015-02-19
190,2015,九层妖塔,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=615300,动作,68293,34,30,2015-09-30
191,2015,蚁人,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=302023,科幻,67176,36,22,2015-10-16
192,2015,末日崩塌,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=633304,灾难,62967,37,24,2015-06-02
193,2015,恶棍天使,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=631030,喜剧,59736,30,46,2015-12-24
194,2015,火星救援,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=633490,科幻,58690,37,24,2015-11-25
195,2015,杀破狼2,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=617809,动作,56040,36,25,2015-06-18
196,2015,战狼,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=617165,动作,54447,34,25,2015-04-02
197,2015,007：幽灵党,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=640997,动作,54209,32,28,2015-11-13
198,2015,哆啦A梦：伴我同行,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=623724,动画,53032,35,22,2015-05-28
199,2015,超能陆战队,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=621612,动画,52643,37,26,2015-02-28
200,2016,美人鱼,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=626153,喜剧,339210,37,44,2016-02-08
